Counties,Population ,Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability - Score,Social Vulnerability - Rating,Social Vulnerability - State Percentile,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Exposure - Impacted Area (sq mi),Riverine Flooding - Exposure - Building Value,Riverine Flooding - Exposure - Population,Riverine Flooding - Exposure - Population Equivalence,Riverine Flooding - Exposure - Agriculture Value,Riverine Flooding - Exposure - Total,Riverine Flooding - Historic Loss Ratio - Total Rating,Riverine Flooding - Expected Annual Loss - Building Value,Riverine Flooding - Expected Annual Loss - Population Equivalence,Riverine Flooding - Expected Annual Loss - Agriculture Value,Riverine Flooding - Expected Annual Loss - Total,Riverine Flooding - Expected Annual Loss Score,Riverine Flooding - Expected Annual Loss Rating,Riverine Flooding - Expected Annual Loss Rate - National Percentile,Tornado - Number of Events,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - National Percentile,Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Hazard Type Risk Index Rating
"Lares, Puerto Rico",28105,62.26,79.42,Relatively Low,35.9,17528427.54,"$14,164,321.87",2906796,94.96,81.71,Very High,0.28,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,62.26,"$2,852,261,991.14",28104,Very High,"$11,782,664.28",541855,"$456,830.26",12781350.23,87.42,Relatively Moderate,96.54,2,0.03,"$15,237,654.51",92,1077035822,"$58,741.23",1092332218,Relatively Moderate,"$25,024.07",1491,$145.47,26660.77,12.75,Very Low,19.16,1,62.26,"$2,852,263,306.00",28105,"$38,296,595.00",3.28909E+11,Relatively Moderate,"$5,164.67",7527,$18.40,12710.39,5.83,Very Low,4.99,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Las Marías, Puerto Rico",8832,46.97,48.68,Very Low,3.85,5211125.37,"$4,265,834.59",945290,95.48,72.83,Relatively High,0.04,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,46.97,"$832,493,397.50",8831,Very High,"$3,546,639.55",175634,$0.00,3722274.08,78.34,Relatively Low,96.93,0,0.07,"$4,211,407.63",24,289153622,$0.00,293365030.1,Relatively Moderate,"$2,379.31",48,$0.00,2427.36,5.01,Very Low,9.56,0,46.97,"$832,741,244.00",8832,$0.00,1.03284E+11,Relatively Moderate,"$1,153.97",1805,$0.00,2959.91,2.2,Very Low,4.03,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Las Piedras, Puerto Rico",35117,34.23,87.62,Relatively Moderate,67.95,31296732.79,"$28,386,506.21",2910226,97.96,78.2,Relatively High,0.18,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,24,34.23,"$4,851,970,938.38",35107,Very High,"$25,388,358.48",857369,$0.00,26245727.78,93.47,Relatively Moderate,99.05,5,0.1,"$69,271,284.68",563,6541855342,$0.00,6611126628,Relatively Low,"$19,471.56",47023,$0.00,66495.23,20.86,Very Low,15.78,0,34.23,"$4,852,675,324.00",35117,$0.00,4.1221E+11,Relatively High,"$3,514.75",3762,$0.00,7276.96,4.09,Very Low,1.99,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Loíza, Puerto Rico",23684,66.26,82.64,Relatively Low,46.15,21435236.01,"$19,230,659.25",2204576,98.89,96.12,Very High,0.91,2.2,"$1,720,748,501.11",16061,1.86317E+11,1.88038E+11,Relatively Moderate,"$2,262,146.37",2266712.75,85.64,Relatively Moderate,97.44,21,20.71,"$2,544,058,791.06",23683,Very High,"$13,312,008.13",578380,$0.00,13890388.98,88.41,Relatively Moderate,99.22,1,1.3,"$950,409,308.38",8538,99041959360,$0.00,99992368669,Relatively Moderate,"$1,885,957.19",68565,$0.00,1954522.77,83.6,Relatively Moderate,96.75,0,66.26,"$2,544,094,673.00",23684,$0.00,2.77278E+11,Relatively High,"$1,852.33",2550,$0.00,4403.26,2.82,Very Low,2.61,1,0,2.45,"$1,883,316,361.03",18118,2.12059E+11,Very Low,$651.42,341,992.9,50.78,Relatively Low,Insufficient Data
"Luquillo, Puerto Rico",17724,47,77.96,Relatively Low,30.77,16274406.01,"$14,654,383.62",1620022,98.58,94.6,Very High,0.85,0.3,"$378,664,512.46",1640,19029203440,19407867953,Relatively Moderate,"$411,546.59",411998.42,65.47,Relatively Low,85.64,27,26.11,"$2,405,580,047.58",17723,Very High,"$12,587,406.10",432833,$0.00,13020239.45,87.81,Relatively Moderate,99.31,1,0.39,"$218,973,911.21",1464,16992845533,$0.00,17211819445,Relatively Low,"$37,697.43",11763,$0.00,49461.38,17.98,Very Low,24.05,0,47,"$2,405,592,457.00",17724,$0.00,2.08004E+11,Relatively High,"$1,743.40",1899,$0.00,3643.37,2.48,Very Low,2.26,0,0,0.59,"$773,124,635.10",4194,49433698985,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Manatí, Puerto Rico",39466,71.4,88.64,Relatively Moderate,75.64,34234733.75,"$30,610,836.50",3623897,96.16,94.16,Very High,0.82,0.02,"$8,644,145.95",48,565824747,574468893.3,Relatively Moderate,"$14,581.31",14604.52,34.87,Very Low,42.22,21,46.52,"$6,290,323,872.83",39461,Very High,"$25,985,263.02",760807,$0.00,26746070.27,93.64,Relatively Moderate,95.85,6,1.85,"$96,683,604.92",424,4926694562,$0.00,5023378168,Relatively Low,"$46,567.28",20464,$0.00,67031.44,20.95,Very Low,15.23,1,71.4,"$6,290,789,227.00",39466,$0.00,4.64096E+11,Relatively High,"$11,412.07",10592,$0.00,22004.86,8.22,Very Low,6.27,0,0,0.03,"$13,249,349.82",130,1523839048,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Maricao, Puerto Rico",4733,37,33.7,Very Low,2.56,3512636.08,"$3,013,910.19",498725,96.53,72.98,Relatively High,0.05,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,37,"$594,982,970.60",4732,Very High,"$2,521,309.33",93381,$0.00,2614690.65,74.75,Relatively Low,96.84,0,0.02,"$25,704,712.32",98,1146532903,$0.00,1172237616,Relatively Moderate,"$3,010.76",190,$0.00,3201.25,5.51,Very Low,14.11,0,37,"$594,985,401.00",4733,$0.00,55497785401,Relatively High,$868.81,1045,$0.00,1914.5,1.8,Very Low,4.37,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Maunabo, Puerto Rico",10555,38.75,58.43,Relatively Low,5.13,7174216.77,"$6,315,402.13",858814,96.07,88.98,Very High,0.62,0.01,"$5,913,810.13",48,559115972,565029782.4,Relatively Moderate,"$10,114.83",10134.68,32.65,Very Low,53.16,21,21.4,"$1,129,037,805.77",10552,Very High,"$5,596,937.93",244132,$0.00,5841070.92,82.14,Relatively Low,98.49,1,1.23,"$66,953,604.99",691,8020000504,$0.00,8086954109,Relatively Low,"$15,680.53",5552,$0.00,21232.68,11.45,Very Low,21.23,0,38.75,"$1,129,296,771.00",10555,$0.00,1.23567E+11,Relatively High,$818.00,1130,$0.00,1948.88,1.83,Very Low,2.11,0,0,0.06,"$31,422,898.51",215,2533688425,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Mayagüez, Puerto Rico",73073,276.85,94.58,Relatively Moderate,91.03,79510950.22,"$67,733,878.92",11095064,99.13,96.83,Very High,0.97,1.33,"$1,938,131,210.22",8793,1.02006E+11,1.03945E+11,Relatively Moderate,"$2,674,405.14",2677195.71,87.01,Relatively Moderate,88.72,35,78.52,"$12,558,133,611.68",73064,Very High,"$53,606,768.44",1455619,"$543,781.92",55606169.44,96.28,Relatively High,97.06,18,2.01,"$2,895,427,816.58",15195,1.76265E+11,"$25,826,261.33",1.79187E+11,Very Low,"$155,379.45",2196475,"$137,888.17",2489743.51,86.66,Relatively Moderate,86.29,2,276.85,"$12,559,189,521.00",73073,"$44,115,339.00",8.6025E+11,Relatively Moderate,"$17,056.68",14678,$22.27,31757.31,9.4,Very Low,3.88,5,0.01,1.7,"$2,478,636,626.51",13134,1.54837E+11,Relatively Low,"$11,624.08",3441,15065.35,75.78,Relatively Low,Insufficient Data
"Moca, Puerto Rico",37426,50.87,85.42,Relatively Moderate,55.13,25648012.57,"$21,140,055.84",4507956,97.37,83.01,Very High,0.31,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,50.87,"$4,052,075,716.00",37425,Very High,"$17,297,051.56",745613,$0.00,18042665.32,90.23,Relatively Moderate,97.1,2,0.19,"$26,979,205.96",282,3280567159,$0.00,3307546365,Very Low,"$7,503.57",4542,$0.00,12045.77,8.82,Very Low,6.04,1,50.87,"$4,052,078,229.00",37426,$0.00,4.38194E+11,Relatively Moderate,"$5,503.70",7518,$0.00,13022.46,5.89,Very Low,3.82,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Morovis, Puerto Rico",28710,39.32,79.51,Relatively Low,37.18,17560723.94,"$15,001,262.75",2559461,94.46,89.07,Very High,0.63,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,39.32,"$3,097,842,113.72",28709,Very High,"$12,797,153.14",553515,$0.00,13350668.33,87.98,Relatively Moderate,96.15,0,0.13,"$7,756,969.64",106,1233847865,$0.00,1241604835,Relatively Low,"$1,430.74",387,$0.00,1818.17,4.58,Very Low,3.16,0,39.32,"$3,097,903,251.00",28710,$0.00,3.36134E+11,Relatively High,"$5,609.51",7689,$0.00,13299.11,5.96,Very Low,5.24,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Naguabo, Puerto Rico",23283,72.99,81.4,Relatively Low,41.03,20058251.34,"$17,637,397.91",2420853,98.51,87.24,Very High,0.5,0.15,"$119,869,459.00",976,11326713939,11446583398,Relatively Moderate,"$144,170.39",144390.11,54.19,Relatively Low,70.09,23,52.29,"$2,952,942,762.95",23282,Very High,"$15,451,528.95",568585,$0.00,16020114.49,89.41,Relatively Moderate,99.14,13,1.34,"$350,031,547.53",2397,27812448323,$0.00,28162479871,Very Low,"$122,382.98",413978,$0.00,536361.39,56.36,Relatively Low,77.1,0,72.99,"$2,953,016,545.00",23283,$0.00,2.73036E+11,Relatively Moderate,"$2,139.20",2494,$0.00,4633.85,2.92,Very Low,2.17,1,0,0.11,"$79,498,285.69",407,4811903806,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Naranjito, Puerto Rico",29241,28.03,79.11,Relatively Low,33.33,17234855.94,"$14,127,561.82",2448269,93.1,83.7,Very High,0.36,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,28.03,"$2,934,361,346.59",29240,Very High,"$12,121,815.85",563749,"$605,285.54",13290850.74,87.89,Relatively Moderate,96.2,0,0.05,"$44,053,480.42",378,4393934527,"$83,285.43",4438071293,Very Low,"$1,418.51",434,$19.83,1872.85,4.67,Very Low,3.28,0,28.03,"$2,934,398,796.00",29241,"$50,741,768.00",3.42181E+11,Relatively High,"$5,314.10",7833,$25.22,13172.38,5.92,Very Low,5.83,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Orocovis, Puerto Rico",21412,64.42,71.12,Relatively Low,12.82,11759524.69,"$9,909,154.37",1850370,93.25,85.12,Very High,0.4,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,23,64.42,"$2,051,260,941.00",21412,Very High,"$8,473,737.44",412816,$0.00,8886554.37,85,Relatively Moderate,96.58,1,0.03,"$42,926,404.82",173,2018298210,$0.00,2061224615,Relatively Low,"$5,911.43",1760,$0.00,7671.63,7.3,Very Low,7.89,0,64.42,"$2,051,260,941.00",21412,$0.00,2.5043E+11,Relatively Moderate,"$3,714.15",5734,$0.00,9448.83,4.9,Very Low,4.87,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Patillas, Puerto Rico",15929,75.96,72.45,Relatively Low,17.95,12473749.19,"$11,190,882.81",1282866,96.97,83.63,Very High,0.35,0.16,"$90,074,551.90",489,5683448697,5773523249,Relatively Moderate,"$202,510.07",202742.96,57.61,Relatively Low,79.32,22,47.6,"$2,009,472,491.43",15928,Very High,"$9,751,810.19",360343,$0.00,10112153.88,86.21,Relatively Moderate,98.4,4,1.1,"$271,619,643.64",1640,19033445238,$0.00,19305064883,Very Low,"$70,778.65",52706,$0.00,123485.17,29.12,Very Low,43.14,0,75.96,"$2,009,533,890.00",15929,$0.00,1.86786E+11,Relatively Moderate,"$2,052.88",2421,$0.00,4473.9,2.85,Very Low,3.07,0,0,0.22,"$133,250,972.69",705,8318827527,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Peñuelas, Puerto Rico",20320,68.55,77.53,Relatively Low,28.21,15777015.86,"$13,718,902.00",2058113,97.55,75.43,Relatively High,0.1,0.27,"$199,637,096.10",46,534036186,733673282.2,Very High,"$582,528.21",582582.02,69.23,Relatively Low,89.06,26,45.06,"$2,518,438,537.26",20319,Very High,"$11,265,289.96",413824,$0.00,11679114.18,86.81,Relatively Moderate,97.62,0,0.49,"$349,958,884.45",1121,13009296255,$0.00,13359255140,Relatively Low,"$22,668.22",2161,$0.00,24829.71,12.32,Very Low,18.94,0,68.55,"$2,518,446,095.00",20320,$0.00,2.3823E+11,Relatively High,"$4,580.03",5442,$0.00,10022.44,5.24,Very Low,5.74,1,0,0.19,"$147,014,055.54",36,570540397.5,Very High,$505.62,6,511.65,47.66,Very Low,Insufficient Data
"Ponce, Puerto Rico",137316,195.56,97.43,Relatively High,96.15,162224444.4,"$147,000,760.40",13386121,99.35,98.51,Very High,1,1.22,"$1,359,506,717.89",6876,79770827763,81130334481,Relatively Moderate,"$2,960,370.21",2963503.73,88.55,Relatively Moderate,82.74,28,118.11,"$21,021,933,181.72",137292,Very High,"$97,825,837.03",2970441,"$1,742,077.59",102538355.9,97.88,Relatively High,97.88,15,4.2,"$6,948,267,006.00",29724,3.44806E+11,"$32,713,389.89",3.51787E+11,Relatively Low,"$32,515,150.23",1256580,"$94,348.79",33866079.19,99.35,Relatively High,99.16,0,195.56,"$21,025,777,196.00",137316,"$134,385,586.00",1.61403E+12,Relatively Moderate,"$38,148.11",36796,$64.54,75009.55,14.3,Very Low,6.11,1,0,1.33,"$1,511,930,920.16",10102,1.18706E+11,Relatively High,"$1,304.25",186,1490.76,54.69,Relatively Low,Insufficient Data
"Quebradillas, Puerto Rico",23529,34.7,78.98,Relatively Low,32.05,17034123.94,"$14,244,731.22",2789392,97.31,74.13,Relatively High,0.09,0,"$39,817.23",0,3094309,3134126.32,Relatively Moderate,$48.33,48.4,21.88,Very Low,21.54,19,23.37,"$2,776,580,368.28",23528,Very High,"$11,690,052.69",461752,$0.00,12151804.77,87.16,Relatively Moderate,96.76,0,0.03,"$315,902.42",2,27929055,$0.00,28244957.43,Relatively Moderate,$208.82,4,$0.00,213.46,3.5,Very Low,2.54,0,34.7,"$2,776,586,863.00",23529,$0.00,2.75713E+11,Relatively High,"$4,304.30",5455,$0.00,9760.08,5.09,Very Low,4.5,0,0,0,"$1,688,485.44",9,116590836.8,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Rincón, Puerto Rico",15187,54.96,73.79,Relatively Low,20.51,13131474.31,"$11,113,097.40",2018376,98.64,89.57,Very High,0.65,0.05,"$29,331,157.48",153,1782495276,1811826434,Relatively High,"$121,428.94",121559.02,52.31,Relatively Low,72.99,22,14.43,"$2,056,385,063.70",15186,Very High,"$8,778,068.57",302560,$0.00,9080629.37,85.13,Relatively Moderate,97.23,0,0.04,"$21,217,526.66",138,1608013292,$0.00,1629230819,Relatively Moderate,"$7,102.64",267,$0.00,7369.81,7.06,Very Low,10.93,0,54.96,"$2,056,385,129.00",15187,$0.00,1.78226E+11,Relatively High,"$2,792.59",3050,$0.00,5843.23,3.57,Very Low,3.78,1,0,0.69,"$513,187,287.09",2951,34746965356,Relatively Low,$285.99,52,338.48,43.75,Very Low,Insufficient Data
"Río Grande, Puerto Rico",47060,90.44,90.47,Relatively Moderate,83.33,41299889.94,"$37,123,477.27",4176412,98.27,95.34,Very High,0.87,0.59,"$523,555,809.50",1533,17787182608,18310738418,Relatively High,"$971,380.30",971906.13,74.53,Relatively Moderate,84.96,25,61.44,"$6,097,606,644.00",47059,Very High,"$31,906,255.28",1149239,$0.00,33055494.5,94.77,Relatively Moderate,99.27,4,0.57,"$519,793,930.45",1847,21432953662,$0.00,21952747593,Relatively Low,"$209,198.79",59351,$0.00,268549.91,42.12,Relatively Low,40.11,0,90.44,"$6,097,657,593.00",47060,$0.00,5.51994E+11,Relatively Moderate,"$4,430.06",5043,$0.00,9473.1,4.93,Very Low,2.33,0,0,0.58,"$587,889,484.31",1254,15141564492,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Sabana Grande, Puerto Rico",22701,36.69,76.35,Relatively Low,24.36,15051610.21,"$12,368,852.48",2682757,97.12,91.37,Very High,0.72,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,25,36.69,"$2,302,868,585.44",22681,Very High,"$10,366,288.35",479925,$0.00,10846213.86,86.42,Relatively Moderate,97.67,1,0.16,"$144,073,496.50",908,10542777471,$0.00,10686850968,Very Low,"$12,385.40",7298,$0.00,19684.04,11.14,Very Low,11.36,0,36.69,"$2,304,509,462.00",22701,$0.00,2.65636E+11,Relatively High,"$3,250.86",4770,$0.00,8021.44,4.5,Very Low,4.16,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Salinas, Puerto Rico",25742,115.27,86.29,Relatively Moderate,58.97,27827148.58,"$25,904,171.60",1922976,98.92,91.02,Very High,0.71,1.54,"$932,551,482.12",5870,68097695786,69030247269,Relatively High,"$5,385,390.71",5392531.23,93.5,Relatively Moderate,98.63,24,71.18,"$3,834,473,310.85",25733,Very High,"$18,346,488.35",572192,$0.00,18918680.93,90.75,Relatively Moderate,98.1,3,2.33,"$1,668,379,609.57",12719,1.47551E+11,$0.00,1.4922E+11,Very Low,"$57,749.50",10764,$0.00,68514.37,21.11,Very Low,24.67,0,115.27,"$3,835,226,241.00",25742,$0.00,3.02442E+11,Relatively Moderate,"$4,671.84",4677,$0.00,9349.31,4.84,Very Low,3.5,1,0,0.94,"$617,899,250.18",3007,35507216448,Relatively Low,"$1,826.93",375,2202.08,58.59,Relatively Low,Insufficient Data
"San Germán, Puerto Rico",31837,55.06,85.27,Relatively Moderate,52.56,25464340.47,"$21,105,735.72",3816707,97.52,83.39,Very High,0.32,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,26,55.06,"$4,098,927,290.69",31836,Very High,"$17,504,737.42",634653,"$539,720.06",18679111.01,90.53,Relatively Moderate,97.28,1,1.89,"$263,155,933.89",1515,17585313245,"$27,481,006.31",17875950185,Very Low,"$3,654.53",12174,"$1,849.78",17678.42,10.77,Very Low,6.93,0,55.06,"$4,098,938,665.00",31837,"$43,722,185.00",3.73452E+11,Relatively Moderate,"$5,566.40",6395,$15.74,11977.29,5.71,Very Low,3.75,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"San Juan, Puerto Rico",341981,77.73,99.32,Relatively High,100,388039146,"$337,699,041.73",50340104,98.79,96.43,Very High,0.96,3.29,"$8,578,731,288.99",38471,4.46268E+11,4.54846E+11,Relatively Moderate,"$18,196,385.84",18224544.57,97.95,Relatively High,90.26,21,49.86,"$66,181,160,227.37",341963,Very High,"$273,878,694.80",6613402,$0.00,280492097.4,99.57,Very High,96.67,46,3.75,"$8,727,239,238.47",45261,5.25029E+11,$0.00,5.33756E+11,Very Low,"$283,775.29",16719676,$0.00,17003451.63,98.45,Relatively High,94.61,2,77.73,"$66,183,279,195.00",341981,$0.00,4.03316E+12,Relatively High,"$119,357.41",90951,$0.00,210309.11,23.26,Very Low,4.71,6,0,2.41,"$7,471,014,722.38",32829,3.88292E+11,Relatively Moderate,"$11,376.35",1147,12524.09,75,Relatively Low,Insufficient Data
"San Lorenzo, Puerto Rico",37680,53.74,85.3,Relatively Moderate,53.85,25469453.44,"$22,266,612.17",3202841,96.26,75.81,Relatively High,0.12,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,22,53.74,"$3,879,126,130.87",37679,Very High,"$19,826,100.07",898089,$0.00,20724189.45,91.48,Relatively Moderate,98.79,3,0.16,"$153,365,808.66",949,11017969021,$0.00,11171334831,Very Low,"$11,604.49",37470,$0.00,49075.13,17.89,Very Low,12.94,0,53.74,"$3,879,183,408.00",37680,$0.00,4.40967E+11,Relatively Moderate,"$3,276.51",4729,$0.00,8005.56,4.47,Very Low,2.7,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
